_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,no,review,review_en
2892106100,FALSE,finalized,3,12/10/2020 22:56:16,helpful,0.6604,51664,“فندق رائع”. القرب من محطة المترو. أصوات بناء في مبنى مجاور,"""Wonderful hotel."" Proximity to the metro station. Voices in the construction of a nearby building"
2892106101,FALSE,finalized,3,12/10/2020 22:56:16,helpful,1,37857,استثنائي. تتميز الغرف بالنظافة وطاقم العمل محترم جدا وتعاملهم راقي. لا يوجد شي سوى أن المرتبة غير مريحة قليلا,Exceptional. The rooms are clean and the staff is very respectful and treat them sophisticated. There is only something that is a little uncomfortable place
2892106102,FALSE,finalized,3,12/10/2020 22:56:54,helpful,0.6604,56293,مقبول. عدم وجود خمور ومناسب للعوائل وقربه من امارات مول. ﻻ يستحق 5 نجوم وﻻ تقييم رائع الذي خدعني في بوكنق يستحق 3 نجوم فندق ممل,Acceptable. The lack of wines suitable for families and its proximity to the Mall of the Emirates. Not worth 5 stars and evaluate a wonderful who deceived me in Boknq worth 3 star boring hotel
2892106103,FALSE,finalized,3,12/10/2020 22:56:54,helpful,0.6604,23383,استثنائي. . لا يوجد للحمام خصوصيه,Exceptional. . There is no bathroom privacy
2892106104,FALSE,finalized,3,12/10/2020 22:56:54,helpful,1,23907,“فندق رائع”. الفطور منوع وممتاز والمكان نظيف وراقي. الاثاث مستهلك نوعا ما,"""Wonderful hotel."" Variety and breakfast is excellent and the place is clean and sophisticated. Consumer somewhat furniture"
2892106105,FALSE,finalized,3,12/10/2020 22:56:54,helpful,0.6604,106039,“روعة بكل المقاييس”. كل شي استثنائي. لا شي,"""The Splendor of all standards."" Everything exceptional. nothing"
2892106106,FALSE,finalized,3,12/10/2020 22:57:39,helpful,1,11696,جيد. مكان الفندق والنظافه والغرف واسعه وتحت مول الغرير حلو. استلام الغرفه ساعه 2 .. ودخول الفندق متعب شوي,good. The hotel location and cleanliness and rooms are spacious and under the Al Ghurair sweet. Receiving room 2 hours .. and enter the hotel tired Shui
2892106107,FALSE,finalized,3,12/10/2020 22:57:39,helpful,0.6604,11777,“الرحلة السعيدة”. . عدم وجود وجبة افطار مع الغرفة بدون مقابلوكذلك برأي ان يكون النت ضمن الغرفة مجاناً,"""Happy Journey"". . The lack of breakfast with the room without Mqablukzlk to be the opinion of the net within the room for free"
2892106108,FALSE,finalized,3,12/10/2020 22:57:39,helpful,0.6604,51102,“جيد انصح به للعوائل”. بدون فطار اخذتالموقع. السعر,"""I advise him good for families."" Without mycosis Akhztalmouka. price"
2892106109,FALSE,finalized,3,12/10/2020 22:57:39,helpful,0.6604,103139,ضعيف جداً. سيّء. كل حاجة في,Very weak. Bad. Every need in
2892106110,FALSE,finalized,3,12/10/2020 22:58:35,unrelated,0.6689,14063,“رحلتي كانت ممتازه”. كل شي. لا شي,"""My trip was excellent."" everything. nothing"
2892106111,FALSE,finalized,3,12/10/2020 22:58:35,helpful,1,73575,مقبول. الخدمه جيده. عندما ارا الصور المعروضه غير صحيحه عندما وصلت الى الفندق دخلت بغرفه الاثاث قديم والفرشه قديمه وقذره من باب الحمام اكرمكم الله الى السرير الفرشه صايره سوداء من اقدام الناس,Acceptable. The service is good. When Lara photos displayed is incorrect when I arrived at the hotel entered the room Old furniture and brush dirty old bathroom door from God's sight to bed black brush Saarh from the feet of people
2892106112,FALSE,finalized,3,12/10/2020 22:58:35,helpful,1,170263,“راضى نوع ما”. قريب من كل شى ممنوع دخول الضيوف  امال الاستمرار بالمنع. سواء نظافه الفرش ويوجد اثار ع السرير مسبقهتم تصويرها  عندي بالجوال,"""Radi some kind."" Close to all Xi forbidden to enter the visitors' hopes of continuing prevention. Whether cleaner brushes and there are traces of p bed Msbakhtm photographed my mobile"
2892106113,FALSE,finalized,3,12/10/2020 22:58:35,somewhat_helpful,0.3396,31940,جيد. اسلوب راقي مع النزﻻء. مروش دورة المياه مخرومه والماء يتوزع بشكل عشوائي,good. Sophisticated style with guests. Marroush Mkhrovernm water cycle and water are distributed randomly
2892106114,FALSE,finalized,3,12/10/2020 22:59:29,helpful,0.6604,174236,“رائعه في غير اوقات الزحمه الموسمية”. الموقع وقربة من الخدمات. الانترنت غير مجاني وضعيف,"""Wonderful in times of non-seasonal jostle."" Location and proximity to services. Internet is free and weak"
2892106115,FALSE,finalized,3,12/10/2020 22:59:29,helpful,0.6604,153514,“فتدق جدا رائع والموظفون رائعون”. فندق جميل جدا وهادئ ونظيف. الواي فاي بحاجه الى تقويه,"""Vtdq very cool and the staff are great."" Very nice, quiet and clean hotel. Wi-Fi need to strengthen it"
2892106116,FALSE,finalized,3,12/10/2020 22:59:29,helpful,0.6604,141918,“راعي الشرقية”. مكان جداً رائع ..نظيف وهادي واللي في الاستقبال تعاملهم راقي .فيه ملاحظة بسيطة سجلتها عند الاستقبال وإن شاء الله مانشوفها المرات الجاية.,"""Eastern patron."" Very wonderful place ..nziv and Hadi who treat them in a sophisticated reception .ver simple observation recorded at the reception and God willing Mancovha times Gaah."
2892106117,FALSE,finalized,3,12/10/2020 22:59:29,helpful,0.6604,152245,“كل شي جميل”. كل شي رائع. موقعه وسط سوق كمبيوترات,"""Everything beautiful"". Everything is awesome. Its central market, Computers"
2892106118,FALSE,finalized,3,12/10/2020 23:00:36,helpful,0.6604,154808,“شاليه روعه”. استمتعت بوقتي مع الاسره في اجواء ينبع الساحره و تصميم الشاليه الحلو والمسبح الخاص والساحل الجميل. لا يوجد,"""Chalet magnificence"". I enjoyed my time with the family atmosphere in the stems and charming design chalet sweet private swimming pool and beautiful coast. There is no"
2892106119,FALSE,finalized,3,12/10/2020 23:00:36,helpful,1,203989,ضعيف. نظافة ... راقي. هاتف خدمة الغرف ( تحويلة) لا يردون على الإ بعد عدة إتصالات وهذا مزعج للعملاء,Weak. Cleaner ... sophisticated. Telephone Room Service (ext) do not respond to only after several contacts that annoying customers
2892106120,FALSE,finalized,3,12/10/2020 23:00:36,helpful,1,68437,“بودل اول اختياراتي بكل سفراتي  واضطر اني احجز غيره لو كان مافيه مكان شاغر”. جميع الخدمات جميله وبودل بكل سفره افضل السكن فيها الاكل الخدمه الموقع النظافه طاقم العمل كلها جميله. لاشي,"""Poodle first in all my travels and my choices I had to book the other if it was Maver vacant place."" All services and beautiful Poodle with all his best eating accommodation where service site Janitorial staff are all beautiful. nothing"
2892106121,FALSE,finalized,3,12/10/2020 23:00:36,helpful,0.6604,47022,استثنائي. كل شي ممتاز . وطاقم العمل ممتاز. لاشي,Exceptional. every thing is excellent . The staff is excellent work. nothing
2892106122,FALSE,finalized,3,12/10/2020 23:00:59,helpful,1,91669,“رائع”. راحه ومافي ازعاج وتعامل الاستقبال معنا بابتسامه وشغل نظيف. النت مو سريع,"""Gorgeous"". Rest and Mafi nuisance and treat the reception with us smile clean and filled. Mo net fast"
2892106123,FALSE,finalized,3,12/10/2020 23:00:59,helpful,1,96988,“السعوديه - المنطقه الشرقيه”. . الاثاث قديم جدا ، مستلزمات الحمام وخاصه فوط الحمام قديمه جدا وعليها اثار دماء اعزكم الله ، ادوات المطبخ قليله,"""Saudi Arabia - Eastern Province."" . Furniture very old, bathroom accessories and special bath towels are very old and it traces the blood Aazkm of God, a few kitchen tools"
2892106124,FALSE,finalized,3,12/10/2020 23:00:59,helpful,1,125573,“الموقع رائع وجميل خصوصا للعائلات”. المسبح للاطفال والشاطئ البحري.,"""Wonderful and beautiful location especially for families."" Swimming pool for children sea and the beach."
2892106125,FALSE,finalized,3,12/10/2020 23:00:59,helpful,1,143746,“فندق رائع للعوائل”. الفندق جميل وشققه واسعة وخدماته سريعة. وجود التحسينات والترميمات,"""Wonderful hotel for families."" The hotel is beautiful and spacious apartments and fast services. The presence of improvements and renovations"
2892106126,FALSE,finalized,3,12/10/2020 23:01:18,helpful,0.6604,187361,“رائع”. المكان جديد ورائع وسعره معقول. حجزت شقة لخمسة اشخاص والواقع انها لاربعة اشخاص حيث ان سرير الاريكة الذي تم فتحه غير مريح نهائيا,"""Gorgeous"". Place a new and wonderful and reasonable price. I booked an apartment for five people, in fact it's four people as the sofa bed that was opened inconvenient final"
2892106127,FALSE,finalized,3,12/10/2020 23:01:18,helpful,1,205110,حسن. الراحه والوايفاي. الرسبشن البعض تعامله زفت واذا بغيت تدخل او تخرج  مافيه الا عاملين يعني تتاخر بالدخول والخروج واما الغرف ضيقه جدا ولا تنفع ابد ابد ولا يستجيبون لشكاوي البوكنج,"Hassan. Comfort and Allowaavaa. Alersbhn some of his handling of asphalt if Bgit enter or go out Maver only means workers to enter and exit delay, but the rooms are very narrow and must benefit must not respond to complaints Albokenj"
2892106128,FALSE,finalized,3,12/10/2020 23:01:18,helpful,0.6604,15670,“ازعاج من الجار”. النظافة والتعامل الراقي و الموقف. الغرفة مفصولة عن الجار ب باب والازعاج والاصوات طويلة,"""Annoyed neighbor."" Cleaning and handling upscale and attitude. The room is separated from the neighbor to the door of the hassle and long sounds"
2892106129,FALSE,finalized,3,12/10/2020 23:01:18,helpful,1,100398,“كراون بلازا للراحة والفخامة أصول”. يمتلك مواقف خاصة للسايرات وهذا بحد ذاته جميلٌ جداً و ذو منفعه~الأكل في إفطار رمضان كان يتميز بوفرة الأصناف وجودة الأكل عالية جداً ذات مذاق شهي ~يعد الفندق الأجمل في تلك الناصية ~. لايوجد عدد موظفين كافٍ لخدمة النزلاء مما سبب في تأخري عن موعد السفر 45 دقيقة عند تسجيل الخروج~وأيضاً بعد رجوعي لمدينتي تفاجأت بإتصال من الفندق يسألني به الموظف عن إيصال نقاط سحب الفيزا ...!وهذا في وجهة نظري سوء إدارة فمن الواجب أن لايتصل الفندق بالنزيل لهذه الأسباب حيث أنني قد أطلعت الموظف الآخر على رسالة تأكيد الإستقطاع من بطاقة الفيزا بإسم الفندق نفسه عن طريق رسائل الجوال~,"""Crowne Plaza comfort and luxury assets."" It has a private parking Cyrat and this in itself is very beautiful and a Perk ~ eating breakfast in Ramadan was characterized by abundant varieties of eating and very high quality with a taste of delicious ~ The hotel is the most beautiful in those ~ forelock. There are a sufficient number of staff to serve guests, causing the delay to travel 45 date minutes when you log off ~ and also after I returned to my city was surprised by communication from the hotel to ask me by the employee for the delivery points of the withdrawal of the visa ...! This in my view, poor management, it should be the Aatsal hotel for these reasons, the guest since I briefed the other employee had a confirmation of deduction from Visa card in the name of the hotel itself via SMS ~"
2892106130,FALSE,finalized,3,12/10/2020 23:02:03,helpful,1,35387,“عدم توفير متطلبات الضيف مثل  المكواه وعدم الاكتراث لطلاباته”. . عدم وجوج مواقف سيارات بالقرب من الفندق,"""The failure to provide the guest requirements, such as the Flatiron and the indifference to Talabath."" . Lack Gog parking near the hotel"
2892106131,FALSE,finalized,3,12/10/2020 23:02:03,helpful,1,159459,مرضي. الافطار والسرير كانا ممتازيين. لم يكن هناك حوض لسباحة ولا احذيه للحمام,Patients. Breakfast and the bed were Mmtakizan. There was no swimming pool nor a shoe bath
2892106132,FALSE,finalized,3,12/10/2020 23:02:03,helpful,1,37233,“قرب الموقع والنظافة”. الموقع قريب جدا من الراشد مول ، النظافة ، تعاون وتعامل ستاف الفندق وتواصلهم مع النزلاء اكثر من رائع. مساحة الشقة صغيرة نوعا ما ، حجزت غرفتين وصالة ويوجد بها فقط دورة مياة واحدة مساحتها صغيرة بها شاور لكن لايوجد بها بانيو ،  توجد غرفة يفصل بينها وبين غرفة اخرى في شقة اخرى باب خشب ، بحيث يمكن سماع الصوت والازعاج ، عدد المواقف محدود .,"""Near the site and cleanliness."" The location is very close to Al Rashed Mall, cleanliness, cooperation and treated Stave hotel and their communication with guests more wonderful. Flat area rather small, we booked two rooms and a lounge and there are only a single water area of ​​a small course of the consultation but does the bathtub, there is a room separating them from another room in the other flat wood door, so you can hear the sound and hassle, the number of positions is limited."
2892106133,FALSE,finalized,3,12/10/2020 23:02:03,helpful,1,137771,“اسوء فندق ..”. مافيه شي عجبني للاسف. الفندق سيء النظافة سيء الخدمة حرام عليهم ١٠٪‏ سسسسيء الحمامات فيها روايح وبنات الليل قدام الفندق واشكال مقززة مع اننا قلنا مالنا دخل بأحد لما حجزنا بس اللي شفناه تو متش  .. مدخل الفندق مب واضح ومافيه لوحة ولا شي .. وفي الدخول لطعونا للساعة ٥ العصصصر مع اننا جيناهم ١:٣٠ الظهر ..  جاي معانا رجال كبير بالعمر عمره فوق ال٦٠ مسكين لطعوه وقفوه ع الريسبشن اكثر من ساعة ونص !! مافيه احترام للنزلاء ولا اهتمام ولا مراعاة .. نصيحة لحد يسكنه,"""The worst hotel .."". Maver Shi unfortunately I liked. The hotel is bad hygiene bad service is haram for them 10% Ssssee baths where perfume and girls night in front of the hotel and forms disgusting with we have said our money entered one of what we booked only one who Venah to Mitch .. the hotel entrance MP clear Maver plate and Shi .. In entering the appeals hour 5 we Alasssr with Ginahm 1:30 pm .. Jay brightest men great old age over 60 poor to Taoh and Qvoh p Risbashn more than an hour text !! Maver respect for guests do not mind the attention and advice .. limit inhabited"
2892106134,FALSE,finalized,3,12/10/2020 23:02:06,helpful,0.6604,200332,“جميل ورائع ونظيف”. . بالنسبه للسرير الاضافي كان قمه بالصلابه . الرجاء الاهتمام ووضع مراتب مريحه للسرير الاضافي,"""Beautiful and wonderful and clean."" . For the extra bed was the top rigidity. Please attention and put mattresses comfortable extra bed"
2892106135,FALSE,finalized,3,12/10/2020 23:02:06,helpful,1,153224,“اول تجربة”. -سعره وقرب موقعه-الخدمات الموجودة في الغرفه قد لاتجدها في فندق آخر(غسالة ملابس، مكوى،...). -تسجيل الدخول يأخذ وقت طويل ومزعج.-التكييف لا يعمل بكفائه.-هناك نوعية من النزلاء الهمجيين وتجدهم في اللوبي بأثواب النوم!!,"""first experience"". -Saara and near-location services in the room may Atjdha in another hotel (washing machine, laundry, ...). -Tsgel Login takes a long time and Mzaaj.-conditioning does not work there Bkivaih.-quality guests and find them savages in the lobby sleeping gowns !!"
2892106136,FALSE,finalized,3,12/10/2020 23:02:06,helpful,0.6604,567,استثنائي. كل شي. لا شي,Exceptional. everything. nothing
2892106137,FALSE,finalized,3,12/10/2020 23:02:06,helpful,0.6604,134040,“الزين ما يكمل حلاه”. الخدمة والاستقبال ممتازة. الاتصال وطلب الخدمات يأخذ وقت حتى يرد لدرجة انك تحس نفسك بتكلم STCومافي واي فاي مجاني في كل الفندق وترى الناس بطلت تستخدم الايثرنت,"""Zain completes Helah."" Service and reception are excellent. Contact and request services takes time, even respond to the degree that you feel yourself and STC was talking Mafi free Wi-Fi in every hotel and you see people using the characteristic Ethernet"
2892106138,FALSE,finalized,3,12/10/2020 23:03:16,helpful,1,196494,“قمة في الراحة والنظافة”. الفلل تصميم رائع ومريح و نظيفه وموقع جدا رائع قريب من الشاطئ وفي مكان راقي جدا من جدة استقبال في قمة الاحترام والذوق وخصوصا من الأخ فهد الهقاص. أتمنى ان يستمر هذا الرقي من أفضل لأفضل في المستقبل,"""Summit in the comfort and cleanliness."" Villas design gorgeous, comfortable and very clean and a great location close to the beach and in a very sophisticated place of Jeddah reception at the top of respect and taste, especially from brother Fahd Alehghas. I hope that this progress will continue from the best to the best in the future"
2892106139,FALSE,finalized,3,12/10/2020 23:03:16,helpful,1,64553,ضعيف. . Bad staff '  specialty someone in front desk named Abdullah he was so bad.تعامل سئ من العاملين في الاستقبال خصوصاً السعودي عبدالله متحايل جداً.  لايصلح ابداً الى كخيار أخير . سرير النوم مزري وعلية أثر صبغ جدران!!؟,"Weak. . Bad staff 'specialty someone in front desk named Abdullah he was so bad. Bad deal from working in Saudi Arabia, especially the reception Abdullah very Taal. Never suited to as a last resort. Sleeping bed Mzari and the effect of the dye walls !!?"
2892106140,FALSE,finalized,3,12/10/2020 23:03:16,helpful,1,89525,“الفندق المثالي”. فندق رائع، كل شي في هذا الفندق مميّز، طاقم مواقف السيارات، الإستقبال، خدمات الغرف، النظافة، المسبح ، النادي الصحي، التصميم ، الهدوء، موقعه ملاصق للمترو، يستحق سيارته مرة أخرى.. لا شيء,"""Perfect hotel."" A wonderful hotel, everything in this unique hotel, staff parking, reception, room service, cleanliness, swimming pool, health club, design, quiet location adjacent to the Metro, worth his car again .. nothing"
2892106141,FALSE,finalized,3,12/10/2020 23:03:16,helpful,0.6765,55643,"مرضي. Location , clean. عدم اهتمام من الموظفين او زيادة عن طاقتهم الاستيعابيةEmployees lost thier passion","Patients. Location, clean. Lack of interest from staff or increase their capacity for absorption Employees lost thier passion"
2892106142,FALSE,finalized,3,12/10/2020 23:02:58,helpful,0.6604,140378,استثنائي. الموقع - الاستقبال وخاصة الأخ حسن - النظافة -المسبح- الجاكوزيكل شي جميل في الفندق.,Exceptional. Location - reception especially good brother - hygiene -almsobh- Gakozichael Shi in a beautiful hotel.
2892106143,FALSE,finalized,3,12/10/2020 23:02:58,helpful,0.6604,141661,استثنائي. اعجبني نظافه الغرفه ونظافة الممرات والتعامل الممتاز من الاستقبال مع الشكر والتقدير لهم وايضا شكري وتقديري وامتناني الى الاستاذ عبدالله الزهراتي وطاقم الفندق.,Exceptional. I liked the Cleanliness and cleanliness of the corridors and excellent handling of the reception with thanks and appreciation for them and also my thanks and my appreciation and gratitude to Mr. Abdullah Alzahrati and the hotel staff.
2892106144,FALSE,finalized,3,12/10/2020 23:02:58,helpful,0.6604,182352,مرضي. الطعام و الموقع و خدمة المطعم ممتازه. موظفي الاستقبال خدمتهم بطيئه و سيئه,"Patients. Food, location and excellent restaurant service. Reception staff service and bad slow"
2892106145,FALSE,finalized,3,12/10/2020 23:02:58,helpful,0.6604,144959,"“ممتعة”. ابتسامة الموظفينكان في خلل في حجزي, ولما وصلت أعطوني غرفة أعلى من حجزي بنفس المبلغ. ","""Enjoyable"". Smile Mozvinkan in a glitch in my reservation, and when I arrived they gave me a room higher than my reservation the same amount."
2892106146,FALSE,finalized,3,12/10/2020 23:03:50,helpful,0.6604,129237,ضعيف. . النظافة ليست كافية وليست على المستوى المطلوب والحمامات يريد لها تغيير,Weak. . Cleanliness is not enough and is not at the required level and bathrooms wants her to change
2892106147,FALSE,finalized,3,12/10/2020 23:03:50,helpful,0.6604,168226,مرضي. كل شي. الحمام يحتاج تنظيف وتجديدالسعر عالي,Patients. everything. The bathroom needs cleaning and high-Tjdidsar
2892106148,FALSE,finalized,3,12/10/2020 23:03:50,helpful,0.6604,22281,“جيد ولكن سيء”. الموقع مميز جداالتكييف ممتاز. الاستقبال كان سيء جدا جداالمواقف ليست مجانيةالانترنت ليس مجانيلايوجد سخان (ماء حار)صور الغرف اجمل من الحقيقة بفارق شاسع جدا,"""Good but bad."" Site special Jaddaaltkiev excellent. The reception was very bad Jaddamoaagaf not Mjanahalanturnt not Mjanalaeugd heater (hot water) images the most beautiful rooms of the truth behind a very vast"
2892106149,FALSE,finalized,3,12/10/2020 23:03:50,helpful,0.6604,24456,“لابأس به”. خدمة موظفي الاستقبال السريعه. النظافة ليست جيدة ووجود روائح في الحمام,"""it's OK"". Service staff reception Food. Cleanliness is not good and the presence of odors in the bathroom"
2892106150,FALSE,finalized,3,12/10/2020 23:04:26,helpful,1,62634,جيد جداً. الموقع ممتاز بس والشاطئ وحمام السباحه ممتاز. بعض من خدمة العملاء مثلا الميني بار لأي نزيل مع أني لم اطلبه وخلال إقامتك طلبت ازالته وكل مره يوعده بالازالته ولكن الي يوم الخروج لم يأتي احد..,"very good. The location is excellent Bs and the beach and the swimming pool is excellent. Some of the customer service, for example, the mini-bar for any guest even though I did not order it during your stay and asked to remove it every time Auadh Balazalth but to a day out did not come one .."
2892106151,FALSE,finalized,3,12/10/2020 23:04:26,helpful,1,49038,“ممتاز”. ممتاز.,"""Excellent"". Excellent."
2892106152,FALSE,finalized,3,12/10/2020 23:04:26,helpful,1,224,“النظافة اهم شي في الاقامه”. فندق نظيف.,"""The most important Shi hygiene in the residence."" Clean hotel."
2892106153,FALSE,finalized,3,12/10/2020 23:04:26,helpful,1,51844,“جيد”. العاملين و الاهتمام. النظافة و السعر,"""good"". Workers and attention. Hygiene & Price"
2892106154,FALSE,finalized,3,12/10/2020 23:04:25,helpful,0.6604,38146,مرضي. . وجود روائح كرية بالممراتمغسلة الحمام بالغرفةأثاث دون المستوى وديكور غيرمتناسق بتاتاً,Patients. . The presence of odors globule Balmamratmgslh bathroom Balgervhothat substandard decor Garmtnasag at all
2892106155,FALSE,finalized,3,12/10/2020 23:04:25,not_helpful,0.3396,167148,“رائعه”. كل  شي. ولا شي,"""Fantastic"". everything. nothing"
2892106156,FALSE,finalized,3,12/10/2020 23:04:25,helpful,0.6604,172439,ممتاز. الموقع ، الواي فاي ، النظافه ، الاستقبال.,"Excellent. Site, Wi-Fi, cleanliness, reception."
2892106157,FALSE,finalized,3,12/10/2020 23:04:25,not_helpful,0.3396,72979,“رحلة عمل”. . المكيف صوته مزعج بالرغم ان المروحه على اقل درجه,"""business trip"". . Conditioned his voice annoying, although the fan at a lower"
2892106158,FALSE,finalized,3,12/10/2020 23:05:13,helpful,0.6604,40724,مرضي. . وصلت الفندق الساعه الرابعه صباحا يوم الجمعه 2 ابريل واستغرق الامر ساعه امام موظفى الاستقبال للصعود للغرفه لانهم ادعوا بانه لايوجد حجز لكن تم حل المشكله بعد الاتصال ببوكينج مرتين.,Patients. . The hotel arrived at four o'clock on Friday 2 April and it took an hour in front of the reception staff for the rise of the room because they claimed that he does not have a reservation but the problem was resolved after contact Bbuquenj twice.
2892106159,FALSE,finalized,3,12/10/2020 23:05:13,helpful,0.6604,132918,جيد. الموقع جميلخدمة الباصات ٢٤ ساعةالإفطار جيد و مجاني. السعرالنظافة لا تليق بفندق ٤ نجوملا تتوفر جميع الخدمات فقط مقتصرة على شامبو و صابون و كريم,good. Site Jamilkhaddmh buses 24 Saahalaaftar good and free. Saralnzafh not worthy of 4 Nujomla Hotel All services are available only limited to shampoo and soap and cream
2892106160,FALSE,finalized,3,12/10/2020 23:05:13,helpful,0.6604,159630,“إقامة مريحة...”. الإفطار جميل ومناسب. يجب وضع جميع مستلزمات الغرفة بدون الحاجة إلى طلبها مثل الحذاء..الفرشاة والمعجون. ..لأني قمت بقلبها واحضروها ..,"""Comfortable stay ..."". Beautiful and convenient breakfast. Must all room requirements without the need to develop such request Alhmae..alvrchah and putty. ..Lona you Baklbha and they brought .."
2892106161,FALSE,finalized,3,12/10/2020 23:05:13,helpful,0.6604,62319,“خدمه رائعه وسعر جيد ومستوى عالى ونظافه ممتازه”. كل شى جميل فى الفندق. العنوان يحتاج للتوضيح بشكل صحيح على بوكنق,"""Wonderful service, good price and high standard and cleanliness of excellent."" Each beautiful Xi in the hotel. The title needs to be clarified properly on Boknq"
2892106162,FALSE,finalized,3,12/10/2020 23:05:08,helpful,1,75994,“موقع ممتاز وخدمة فوق رائعة”. سرعة انجاز دخول الفندق /سلاسة الموظفين. لا يوجد خدمة حمل الاغراض للغرفة,"""Excellent location and great service on."" Rapid completion of entering the hotel / smooth staff. No service for carrying purposes Room"
2892106163,FALSE,finalized,3,12/10/2020 23:05:08,helpful,1,170394,“الفندق عموما جيد”. قربه من الاسواق خدمة الطعام في الغرف جيدة وسريعة. فندق للعزاب ولا يصلح للعوايل عمال نظافة الغرف يحاولون الاقتصاد يقننون وضع المناديل في الغرف عدم وجود حذاء الحمام وروب حمام رائحة دواء الغسيل شديدة في الملابس من مغسلة الفندق نظافة الغرف جيدة لاتحاول التاخر في الخروج عن الساعة الثانية فهم لايتفاهمون في موعد الخروج,"""The hotel is generally good."" Proximity to markets, food service is good and fast rooms. For singles hotel is not suitable for Awali room cleaners trying economy Iguennon put napkins in the rooms lack of shoes bathroom, bathrobe smell medicine washing severe in clothes from the hotel laundry clean rooms good not try late out for the second time understanding Aatvahmun later exit"
2892106164,FALSE,finalized,3,12/10/2020 23:05:08,helpful,1,123980,“الادارة الفاشلة السيئة”. . اولا الاستقبال سيء جدا والموظف تعاملة سيء للغاية والحجز الذى درتة لما وصلت الاوتيل قال لية مافى غرفة فردية تاخد غرفة زوجى والازعاج كتير بالاوتيل وتنظيف الغرف شيء 3 ليالى ماعملو اى نظافة للغرفة الجمالى لايصلح للتعامل ولا السكن بة,"""The administration failed bad."" . First, the reception is very bad and the employee handling is very bad and the booking which Drth what reached your hotel at Maly Mafi said single room thing for taking my husband room and hassle Kteer Balotil rooms clean thing 3 nights Maamilo any clean room aesthetic suited to deal and housing pric"
